zipcode,rating,insertedAtTimestamp,longitude,address,id,latitude,name,review_count,cuisine
10036,4.0,2018-05-02 17:21:12.429015,-73.986348802868,"235 W 48th St, New York, NY 10036",faukkggAc_tuJ4THYlf4fg,40.760868632784,La Masseria,493,italian
10012,4.0,2018-05-02 17:21:57.815427,-74.00068,"112 Macdougal St, New York, NY 10012",mZALre3ahuetu5X8_uUJew,40.72963,Thelewala,401,indian
11237,4.0,2018-05-02 17:20:31.951724,-73.92164,"445 Troutman St, Brooklyn, NY 11237",6AgpmRu1zjO_eNhoMhTE-A,40.70794,Hard Times,305,american
11375,3.5,2018-05-02 17:20:29.419647,-73.8490004,"64-43 108th St, Forest Hills, NY 11375",BbzVXf9Kso5Lam2OzUeE6g,40.7321222,Cho-Sen Garden,79,chinese
11221,3.5,2018-05-02 17:20:28.739549,-73.9116479761463,"663 Knickerbocker Ave, Brooklyn, NY 11221",AJKcsxpc9IthvhdEnfqogg,40.6951122106303,Good Chinese Restaurant,95,chinese
11101,4.0,2018-05-02 17:23:59.920363,-73.954536,"5012 Vernon Blvd, Long Island City, NY 11101",cJREPXNhyznkLrKhjg9hoA,40.742408,Tournesol,369,french
11222,4.5,2018-05-02 17:23:59.782137,-73.9511185,"105 Norman Ave, Brooklyn, NY 11222",IVjpsmmsgc42k9K2RZR3Qg,40.7258186,Le Fond,117,french
11205,4.5,2018-05-02 17:22:34.130310,-73.972758,"169 Park Ave, Brooklyn, NY 11205",FAALx4s7PBtCZWKFqRNPNQ,40.6963379,Tiger Box,38,korean
11426,4.0,2018-05-02 17:22:29.382069,-73.7160069,"25114 Hillside Ave, Bellerose, NY 11426",ZcmTj4LhC1w7YxJCzkxb4g,40.7355468,Sagar Ratna,17,indian
11229,3.5,2018-05-02 17:20:28.968486,-73.9537711246306,"1932 Kings Hwy, Brooklyn, NY 11229",yl49QxoU_RDHR6wQy-j34Q,40.6104668294336,Wah Lung Chinese Food,8,chinese
10001,3.5,2018-05-02 17:23:10.478845,-73.98631,"11 W 32nd St, New York, NY 10001",ya8HC5_97zGt3wNPWNNENA,40.74761,Food Gallery 32,714,korean
10014,4.0,2018-05-02 17:23:03.135389,-74.0013010473027,"75 Greenwich Ave, New York, NY 10014",wbOeQWie2YoRWuNkiI5BmA,40.7366742117697,Mighty Quinn's Barbeque,353,korean
10065,3.5,2018-05-02 17:21:48.460991,-73.96857,"768 Madison Ave, Manhattan, NY 10065",CBsNd6iuSyiSMPw2pOzRHw,40.76793,Bar Italia Madison,102,italian
10013,4.0,2018-05-02 17:23:17.521011,-74.004647,"28 Grand St, New York, NY 10013",lbqm7geYKkE9zf1Lk-ivSw,40.723011,Ato,89,japanese
10012,4.0,2018-05-02 17:24:05.663398,-74.0006073834151,"113 Macdougal St, New York, NY 10012",PYcL2z9gHj6-ZTlViT9Nqw,40.7300047976758,Minetta Tavern,1946,french
10012,4.0,2018-05-02 17:22:25.325513,-74.0003546456233,"140 W 4th St, New York, NY 10012",9DceMTrjyVqBgQRqgR6GWw,40.7313183707867,Red Bamboo,1512,indian
10012,5.0,2018-05-02 17:22:15.788101,-73.99793,"New York, NY 10012",-D-ye8DU5KndJ7mqBpKU1g,40.7258,Araf Biriyani & Halal Food,1,indian
10019,4.0,2018-05-02 17:23:30.565482,-73.9832784748688,"10 Columbus Cir, Fl 4, Time Warner Center, New York, NY 10019",t7BIiUN0tFg33kySuuQ0aQ,40.7686063643871,Masa,265,japanese
10014,4.0,2018-05-02 17:21:48.276698,-74.00702,"75 9th Ave, Chelsea Market, New York, NY 10014",fBDnGXpDXFAgpZDB0XDSvQ,40.739143,Cappone's Salumeria,50,italian
10022,4.0,2018-05-02 17:23:19.729726,-73.96992,"115 E 57th St, New York, NY 10022",aK2ipD9K8-usBw_gkvvJuw,40.76143,Nare Sushi,249,japanese
11249,4.0,2018-05-02 17:21:38.775368,-73.9576213,"170 Bedford Ave, Brooklyn, NY 11249",xJm9JJLooQ1Sc7ncM2-JJA,40.7182749,The Meatball Shop,1132,italian
10281,5.0,2018-05-02 17:23:59.614225,-74.01533,"225 Liberty St, New York, NY 10281",C6f_MQaRwIbJ8diailVaCA,40.71156,L'Appart,68,french
11375,4.0,2018-05-02 17:23:28.312866,-73.841229,"72-42 Austin St, Forest Hills, NY 11375",gSkAfUFw_iM2CX2FqC6TwA,40.7185591,Sushi Time,442,japanese
11231,4.0,2018-05-02 17:24:21.569117,-73.997972,"457 Court St, Brooklyn, NY 11231",LfRiA6RORToZUSJUHkZBVA,40.677328,Frankies 457 Spuntino,676,french
10003,4.0,2018-05-02 17:20:28.739514,-73.98551,"81 St Marks Pl, New York, NY 10003",Gd3_3mxOvj2xYiqysV8rbQ,40.72782,Xi'an Famous Foods,1463,chinese
